size,iterations,sorted,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
131072,1000,0,1507073591,2123228174,1.408842,0.266705,0.566276,0.006992,8235604,1177943504,262289522,35759070
131072,1000,1,1506636703,894804938,0.593909,0.221225,0.197953,0.006974,8213506,1177735512,262212892,12869
