size,list,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
4096,0,33628,13531,0.402373,0.591235,0.000008,0.103866,892,8588,5894,37
4096,1,25364,45441,1.791555,1.056315,0.000048,0.214094,1835,8571,5897,47
