size,threads,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
16777216,4,1611817139,2885244261,1.790057,0.051780,0.149399,0.122607,98801880,805844032,268659245,4734
16777216,4,470612780,1666633879,3.541412,0.051537,0.085893,0.081531,16445221,201705709,67268690,4204
