size,list,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
4096,1,18671,42719,2.287987,0.772490,0.000033,0.193155,1332,6896,4205,34
4096,0,41752,14015,0.335673,0.071352,0.000001,0.087929,1116,12692,9995,52
