Configuration,Size,ET,FileInput,CPU_Kernel,GPU_Kernel,Host2GPU,GPU2Host
HDD+GPU,512,./run_small: line 3: 775744 Segmentation fault      (core dumped) ./hybridsort /backup/htseng/courses/CSE142/data/300000000_1.bin $1 1
HDD+CPU,512,./run_small: line 6: 775753 Segmentation fault      (core dumped) ./hybridsort_cpu /backup/htseng/courses/CSE142/data/300000000_1.bin $1 1
SSD+GPU,512,0.832690, 0.004825, 0.000000, 0.000016, 0.003399, 0.000019
SSD+CPU,512,0.003076, 0.002911, 0.000107, 0.000000, 0.000000, 0.000000
HDD+GPU,32768,./run_small: line 3: 775787 Segmentation fault      (core dumped) ./hybridsort /backup/htseng/courses/CSE142/data/300000000_1.bin $1 1
HDD+CPU,32768,./run_small: line 6: 775796 Segmentation fault      (core dumped) ./hybridsort_cpu /backup/htseng/courses/CSE142/data/300000000_1.bin $1 1
SSD+GPU,32768,0.855186, 0.005352, 0.000000, 0.000870, 0.089031, 0.000176
SSD+CPU,32768,0.012019, 0.005348, 0.006614, 0.000000, 0.000000, 0.000000
HDD+GPU,262144,./run_small: line 3: 775831 Segmentation fault      (core dumped) ./hybridsort /backup/htseng/courses/CSE142/data/300000000_1.bin $1 1
HDD+CPU,262144,./run_small: line 6: 775840 Segmentation fault      (core dumped) ./hybridsort_cpu /backup/htseng/courses/CSE142/data/300000000_1.bin $1 1
SSD+GPU,262144,0.764584, 0.008608, 0.000000, 0.001146, 0.005177, 0.001173
SSD+CPU,262144,0.043039, 0.008547, 0.034430, 0.000000, 0.000000, 0.000000
