ET,FileInput,CPU_Kernel,GPU_Kernel,Host2GPU,GPU2Host
17.659187, 3.196802, 14.462272, 0.000000, 0.000000, 0.000000
4.624775, 3.202639, 0.000000, 0.447405, 0.136386, 0.132077
2.378228, 0.986485, 0.000000, 0.442355, 0.138859, 0.135915
